абитуриент	entrant
болтать	burble; chatter
болтаться	dangle
болтающийся	floppy
болтовня	babble; chatter; chit; froth
болтун	telltale; magpie
боль	ache
больной	sick; sore; patient
большая палатка	marquee
большая часть	bulk
большая честь	privilege
большой	sizable
большой глоток	swig
бомж	bum
бондарное ремесло	cooperage
бондарня	cooperage
бормотание	mutter
бормотать	burble; mutter
боров	hog
бородка	barb
бороздить	plow
бороться	wrest; struggle
борьба	struggle
босиком	barefoot
босой	barefoot
боцман	boatswain
бочка	barrel
боязливый	timid
бояться	frightened
боящийся	afraid
браконьерство	poach
бранить	scold; berate
браниться	swear
бранное слово	curse
брань	invective
браслет	wrist
братство	fellowship
брать в расчет	take into account
брать назад	retract
брать начало	stem
брать обратно	recapture
брачный	conjugal
бревно	log
бред	rave
бредить	rave
брезент	tarpaulin
брезентовый	tarpaulin
бремя	drag
брешь	breach
бригадир	foreman
бриз	breeze
бритва	razor
брить	razor
брод	wade
бродить	roam; wade; wander
бродяга	tramp
бродяжничать	tramp
бросать	cast; chuck; forsake; pelt; toss
бросать вызов	dare; defy
бросаться	flounce
бросить	hurl; relinquish; give up
брошенный	derelict
брус	bar; beam; timber
брусок металла	ingot
брутто	gross
брызганье	sprinkle
брызгать	splash; sprinkle
брызги	splash
брюзгливый	grouchy
брюква	rutabaga
брюхо	belly
брюшной	abdominal
бряцать	clank
бугор	hump
будить	arouse; wake
будка	booth; shack
будто бы	allegedly
будущий	prospective
буйный	boister
буйствовать	rampage
буквально	literally
буквальный	verbal; verbatim
буксир	tow
буксировать	tow
булавка	pin
булочка	bun
булыжник	rubble
булькать	gurgle
булькающий звук	gurgle
бульон	broth
бумажник	wallet
бунт	outbreak
бунтарь	insurgent
бунтовать	riot
буран	blizzard
бурая водоросль	kelp
бурить	bore
бурно аплодировать	acclaim
бурный	stormy
бурундук	chipmunk
бусина	bead
бутон	bud
буфер обмена	clipboard
буфет	cupboard
буханка	loaf
бухта	cove; creek
бушевать	rampage
бывалый	seasoned
быдло	pleb
быстро	apace; briskly; promptly; fast
быстро увеличиваться	proliferate
быстрота	velocity
быстрый	swift; prompt
быстрый взгляд	glance
быстрыми темпами	apace
быть аналогичным	correspond
быть беременной	gestate
быть в долгу	owed
быть в наличии	be present
быть в состоянии	afford
быть вовлеченным	engage
быть впереди	get ahead
быть главным	be in charge
быть голодным	hunger
быть должным	owed; owe
быть достаточным	suffice
быть достойным	deserve; merit
быть заметным	stand out
быть зачинщиком	spearhead
быть знакомым	ring a bell
быть обязанным	owe
быть полезным	serve; avail
быть помехой	interfere
быть похожим	remind
быть похожим на	take after
быть признательным	appreciate
быть причиной	cause
быть родом из	belong
быть частью	belong
быть чем-то занятым в данный момент	in the middle of something
быть щедрым	lavish
в большинстве	at most
в бреду	lightheaded
в двух словах	nutshell
в зависимости от обстоятельств	as appropriate
в значительной степени	vastly; largely
в итоге	eventually
в качестве	in lieu
в конечном счете	ultimately
в конце концов	eventually; ultimately
в корне отличный	disparate
в любом случае	anywise
в настоящее время	for the time being
в недалеком будущем	in the offing
в ожидании	pending
в основном	largely
в отсутствие	in absentia
в последнее время	lately
в противном случае	otherwise
в прошлом	erstwhile
в ряд	abreast
в самом деле	indeed
в силу вышесказанного	therefore
в силу этого	thereby
в смущении	confusedly
в стороне	aside; aloof; apart
в то время как	whilst; whereas
в указанном порядке	respectively
в этом случае	this is the case
вагон	wagon
важность	value
важный	influential; significant; considerable; substantial
вал	shaft
валет	jack
валиться	topple
валовой	gross
валяние	wallow
валяться	wallow
валяться в грязи	puddle
ванна	bath tub; tub
варежка	mitten
вариации	varieties
вахтер	janitor
ввел в эксплуатацию	commissioned
вводить в действие	enact
вводить в заблуждение	mislead; deceive
вводить новшества	innovate
вводная часть	preface; preliminary
вводящий в заблуждение	deceptive
вглядеться	peer
вглядываться	gaze
вдалбливать	ram
вдали	beyond
вдобавок	moreover
вдоль	along
вдохновлять	inspire
вдруг	suddenly
вдумчивый	pensive
вдыхать	inhale
ведение	conducting
ведро	bucket
ведущий	host
вежливость	courtesy
вежливый	polite; attentive
вездесущий	ubiquitous
велеть	enjoin
великодушный	benevolent; generous
великолепие	glory
великолепно	superb
великолепный	gorgeous; sumptuous; superb
вельможа	grandee
вена	vein
веник	broom
венок	wreath
венская сосиска	wiener
вентиль	valve
вера	faith; confidence
веранда	porch
веревка	rope
верность	allegiance; fidelity; adherence
вернуть	retrieve; regain; reclaim; recapture
верный	faithful; reliable
вероисповедание	faith
вероломно	insidiously
вероломный человек	viper
вероломство	guile
вероятно	apparently; likely; presumably
вероятность	likelihood; presumption
вероятный	probable
вертекс	vertex
вертел	skewer
вертеть	twiddle; skewer
вертикально	upright
вертикальный	upright
верховный	superior
верчение	twiddle
вершина	apex; pinnacle; vertex
веселить	exhilarate
весело	cheerfully
веселость	gaiety; hilarity; exhilaration
веселый	hilarious; merry; facetious
веселье	hilarity; mirth; gaiety; frolic
весло	paddle
вести	shepherd; conduct; host
вести наблюдение	surveil
вести переговоры	negotiate
вести себя	behave
вести счет	score
весь	entire
весьма	fairly
весьма важный	essential
ветер	breeze
ветерок	breeze
ветка	bough; sprig; rod
ветошь	rag
ветреность	levity
ветхий	dilapidated
вечно существующий	eternal
вечность	perpetuity
вечный	eternal; perpetual
вешалка	rack
вешать	hang
вещество	substance
веять	breeze
взаимно обязывающий	reciprocal
взаимность	reciprocity
взаимный	reciprocal
взаимный обмен	reciprocity
взаимовыгодный	reciprocal
взаимодействие	reciprocity
взаимодействовать	liaise
взаимозаменяемый	fungible
взаимоисключающий	mutually exclusive
взбалтывать	churn; stir
взбираться	climb
взвешивать	ponder
взвинчивать цены	inflate
взвод	platoon
взволнованно	excitedly
взгляд	notion
взгляд украдкой	peek
взглянуть мельком	glance
вздор	rigmarole; nonsense
вздох	sigh; breath
вздрагивать	shiver
вздремнуть	nap
вздыхать	sigh
взимать	levy
взлет	take-off
взломать	hack
взор	gaze
взрыв	blast
взрывать	explode
взрывной	explosive
взрывчатка	explosive
взрывчатое вещество	explosive
взывать	invoke
взыскание по закладной	foreclosure
вид	perspective
видеть	behold
видимо	apparently
видимый	discernible; apparent
виднеться	show up
видный	prominent
видоизменять	modify; alter
визг	squeal
визгливый	shrill; strident
визжать	shrill; squeal
вилы	pitchfork
вилять хвостом	wag
винить	accuse
винный погреб	cellar
виновник	culprit
виновный	delinquent
висеть на петлях	hinge
висок	temple
витать	soar
виться	curl
вихрь	vortex; swirl
вице	vice
вкладывать	enclose
вклиниваться	intervene
включать	comprise; incorporate
включенный	embedded
вкось	sideways
вкратце	long story short
влага	moisture
владение	tenure
владеть	possess; wield
влажность	moisture
влажный	humid; damp
властный	overbear
власть	authority
влечь за собой	entail
вливание	infuse
влить	infuse
влияние	influence; authority; impact
влиятельный	influential
влиять	exert; impact
влюбленный	enamored
вместе	along
вместимость	capacity
вместительный	spacious
вместо	stead; in lieu
вмешательство	intervening
вмешиваться	interfere; intervene; commingle; intrude; interrupt
вне	beyond
внедрение	intrusion
внезапно	out of blue; suddenly; slap
внезапный	abrupt; sudden
внесение поправок	adjustment
внешний вид	facade; appearance; aspect
вниз	downward
внизу	underneath; beneath
вникать	fathom
внимание	heed; regard
внимательно	cautiously
внимательный	attentive
внимательный осмотр	scrutiny
вновь подтверждать	reaffirm
вносить в список	enroll
вносить изменения	amend
вносить предложение	propose
вносить ясность	clarify
внутренний	intrinsic; inward
внутрь	inward
внушать	instill; inspire
внушительный	formidable
вовлеченный	involved
вовлечь	buy in
вовсю	with might and main
вогнутый	concave
вода для омовения	ablution
водоворот	whirlpool; swirl; vortex
водопроводный кран	faucet
водораздел	watershed
водоросли	algae
водоросль	alga
водослив	weir
водяной пузырь	blister
вожжи	bridle; rein
возбуждать	excite; arouse
возбуждение	arousal; excitation; thrill
возбужденный	hectic
возвещать	trumpet
возвращать	reimburse
возвращаться	retrace; revert
возвращаться к мысли	revert
возвышенно	greatly
возглавлять	spearhead
возглас	shout
воздавать должное	give credit
воздаяние	retaliation; retribution
воздействие	exposure; impact; influence
воздержание	abstinence; eschewing
воздержанность	sobriety
воздержаться	forego
воздерживаться	abstain; refrain; withhold
воздух	midair
воздушное пространство	midair
возиться	fumble
возлагать	entrust; lay
возлияние	libation
возложенный	incumbent
возлюбленный	beloved
возмездие	reprisal; retaliation; retribution
возмещать	defray; offset; reimburse; recoup
возмещение	reimbursement
возможно	presumably
возможности	facilities
возможный	feasible; probable
возмущать	irritate
возмущаться	resent
возмущение	resentment; outrage
возмущенный	indignant; resentful
вознаграждать	reward
вознаграждение	payoff; remuneration; reward
возникать	stem; emerge
возникновение	origination
возня	romp
возобновить	recommence
возражать	contradict; object; remonstrate; deprecate; mind
возражение	objection; retort
возразить	retort
возродить	revive
возродиться	resurface
возрождение	resurgence
воинственный	belligerent
вой	howl
волдырь	blister
волей-неволей	willy-nilly
волна	tide
волнение	commotion; excitement; excitation
волнения	disturbance
волновать	excite
волноваться	waver
волнующий	alarming
волосатый	shaggy
волочить	drag; haul
волшебная палочка	wand
вольнослушатель	drop-in
вольфрам	tungsten
воля к власти	will power
вон	begone
вонзать	stuck
вонь	stink; stench
вонять	stink
воодушевлять	invigorate; inspire; spirit
воочию	firsthand
вопить	wail; yell
вопиюще	blatantly
вопиющий	egregious; flagrant; glaring
воплощать	embody; fulfill
воплощать в жизнь	implement
воплощение	embodiment; entailment
вопль	wail
вопреки	contrary; notwithstanding
вор	prig
воришка	creep
воровать	cabbage; pilfer; prig
ворожить	tell fortunes
воронка	swirl
ворчание	grumble; mutter
ворчать	grumble; grunt
ворчун	grouchy; nagger
воспаление	inflammation
воспитание	nurture
воспитывать	foster; nurture; rear
воспламеняться	ignite; combust
воспользоваться	embrace
восприимчивый	receptive; susceptible; vulnerable
воспринимать	perceive
восприятие	perception
воспроизведение	propagation
восстанавливать	revive; refurbish; retrieve
восстанавливать в памяти	recall; retrace
восстанавливаться	recover
восстание	insurrection; riot; insurgency; outbreak
восстановить	regain; remediate
восстановление	reclaim
восстановление в правах или в прежнем положении	reinstatement
восторг	exhilaration; rapture; joy; delight; excitement
востребовать	reclaim
восхвалять	extol; praise
восхищаться	admire
восхищение	delight; rapture
восходить	ascend
вот	behold
вот и все"	thats it""]"
вот именно"	thats it""]"
вотчина	fiefdom
вошь	louse
впадать в	run into
впадина	cavity; trough; hollow; indentation
впалый	concave
вперед	forth; beforehand
впечатление	impression
впечатлительный	susceptible
впечатляющий	spectacular
впитывание	absorption; soak
впитывать	assimilate
вполне	quite; thoroughly
впоследствии	afterwards; subsequently; thereafter
впредь	henceforth
впрок	in store
враг	hostile
вражда	enmity; feud; animosity
враждебность	animosity; enmity
враждебный	adverse; hostile
враждовать	feud
вращать	swivel
вращаться	revolve; pivot
вращающий момент	torque
вред	detriment
вредитель	vermin
вредный	mischievous
врезаться	bump
временно отстранять	suspend
временное затишье	lull
временный	interim
время	curfew
время имеет существенное значение	time is of the essence
время ожидания	latency
время от времени	occasionally
вровень	abreast
вряд ли	hardly
все же	nevertheless
все таки	nevertheless
всего лишь	mere
всего-лишь	merely
вселять	instill
всем, кого это касается	to whom it may concern
всеобъемлющий	overarching; comprehensive; pervasive
всеохватывающий	overarching
всерьез	earnest
всесторонний	comprehensive; exhaustive
всеядное существо	omnivore
всеядный	omnivore
вскипание	ebullition
вскользь	in passing
вскоре	after a while
вскружить голову	infatuate
вслух	aloud
всплеск	splash
всплывать	resurface; emerge
вспоминать	recall
вспомнить	bethink
вспомогательный	accessory
вспучиваться	slough
вспышка	flare; flash; outbreak
вставлять	embed
вставлять слова	interpolate
встраивать	embed
встревоженный	uptight
встречаться	date
встречи	venue
встроенный	embedded
встряска	shakeout; shake
встряхивать	stir
встряхнуть	rattle; shake
вступать в дело	embark
вступать в члены	enroll
вступаться (о людях)	intervene
вступить в борьбу	come to grips
вступление	entrance; preliminary
вступление в должность	assumption
всякий раз когда	whenever
втекание	inflow
втереться в доверие	curry favor
вторгаться	intrude; encroach; poach
вторжение	intrusion
вторичный	lateral; derivative
второстепенный	inferior; peripheral
втыкать	stuck
втягивать	retract
вуаль	veil
вульгарность	coarseness
вход	entrance; admission
въезд	entrance
вы не возражаете?	Do you mind?
выбивать	dislodge
выбоина	pock
выбор за вами	choice is yours
выбор из нескольких вариантов	election
выборка	excerpt
выборы	election
выбрать	opt
выброс	eruption
выведенный	inferential
выверка	alignment
вывод	implication; inference; infer; recap
выводить	withdraw; incubate; breed
выгнать	drive away
выгнутый	convex
выговор	reprimand; rebuke
выгода	avail; advantage
выгодный	lucrative
выгон	pasture
выгонять	oust; expel
выдавать себя за	impersonate
выдаваться	protrude; stand out
выдающийся	distinguished; eminent; outstand; preeminent; prominent
выдвижной ящик стола	drawer
выделение	allotment
выделить	insulate
выделять	allot; excrete; allocate
выделяться	stand out; outstand
выдержать	cope; stand
выдерживать	withstand
выдержка	excerpt; gut; quote
выдирать	rip out
выдох	exhale
выдра	otter
выдумать	devise
выдумка	artifice
выдумывать	make up
выдыхать	exhale
выемка	notch
выжидающий	expectant
выздоравливать	convalesce
выздороветь	recover
вызов	defy
вызывать	elicit; induce; entail; evoke; generate; cause; exert
вызывать галлюцинацию	hallucinate
вызывать необходимость	necessitate
вызывающий	defiant
вызывающий разногласия	divisive
выискивать	scrounge
выкапывать	rout
выкрикивать	yell
выкуп	ransom; buyout; redemption
выкупать	ransom; redeem
выкупить	buy in; buyout
вылупиться	hatch
вымерший	extinct
вымолвить	utter
вымостить	pave
вымученный	worn out
вымучивать из себя	grind out
вынашивать	gestate
вынести	withstand
выносить	endure; tolerate
выносливость	endurance
вынуждать	necessitate
вынужден	forced
вынужденный	reluctant; willy-nilly
выпад	invective
выпечка	pastry; bake
выпивка	libation
выплата	payout; payoff
выполнение	accomplishment; fruition; performance
выполнимый	feasible
выполнять	accomplish; carry out; fulfill
выполнять с большим трудом	grind out
выпрашивать	scrounge; solicit
выпуклость	bulge; convex
выпуклый	convex
выпуск	issue; release
выпускать	emit
выпячиваться	bulge
выработка	elaboration
выравнивание	equation; alignment
выравнивать	align; flatten; even
выражать	express; convey
выражать недовольство	complain
выражение восторга	rapture
выражение лица	countenance
выращивать	rear; incubate
вырвать	wrest; pluck
вырезать	carve
вырезка	tenderloin
вырисовываться	show up
вырученная сумма	proceeds
выручка	proceeds; revenue
вырывание	avulsion
вырывать	rip out
высвобождать	unleash
высечь	whip
высиживать	incubate
высказывание	utterance
высказывать	express
высказывать мнение	opine
выслужиться	curry favor
высмеивать	mock
высоко ценить	appreciate; treasure
высокое положение	eminence
высокомерие	arrogance
высокомерный	arrogant; haughty; smug
выстраивать	arrange
выступ	ledge
выступать	outstand; protrude
выступать против	deprecate
выступление	discourse
высушивать	shrivel
высший	superior
вытекает из	derive from
вытекать	ensue
вытекающий	ensuing
вытеснение мелких фирм	shakeout
вытеснить	supplant
вытеснять	dislodge; displace; oust
вытирать	wipe
выть	howl
выучить наизусть	memorize
выхлоп	exhaust
выход	outcome
выходное пособие	severance package
выцветать	fade
вычеркивать	efface
вычесывать вшей	louse
вычитаемый из налогооблагаемой базы	tax deductible
вычитать	deduct
вычищать	sweep
вышедший из употребления	obsolete
вышеупомянутый	aforementioned
вышибала	bouncer
выявлять	elicit
выяснение	ascertainment
выяснять	ascertain
вязать	knit
вязать снопы	sheaf
вязкость	viscosity
вялый	languid; slack; sluggish; tenuous
вянуть	fade
гадать	tell fortunes; guess
гадина	toad
гадкий	abominable; disgusting
гадюка	viper
газон	lawn
галиматья	rigmarole
гало	halo
галстук	tie
гам	uproar
гангстер	hoodlum
гантель	dumbbell; barbell
гарантировать	insure; assure; vouch
гарантия	surety
гардероб	wardrobe
гармонировать	chord; consort
гармонирующий	congruous
гармония	accord; accordance
гарнир	garnish
гарцевать	trot
гасить	extinguish; quench
гвоздика	carnation
герб	crest
гибель	demise
гибкий	limber; versatile
гибкость	resilience
гигантский	huge
гигиеническая помада	chapstick
гиперболизировать	magnify
гипотеза	conjecture
гипс	plaster
главный	major; principal; staple
гладить	caress
гладкий	smooth
глазок	peephole
гласный звук	vowel
глина	clay
глиняный	earthen
глотать	gulp; swallow
глоток	gulp; tasting
глубинка	backcountry
глубокий	profound
глубоко огорчить	devastate
глубокое волнение	thrill
глупец	blockhead
глупый	dull
глуховатый	deaf
глухой	deaf
глушить	muffle
глушь	backcountry
глыба	lump
гнаться	chase
гнев	rage; wrath; exasperation
гневный	irate
гнет	oppression
гнетущий	dismal
гниение	rot
гниль	rot
гнить	rot
гниющий	carrion
гнусавить	snuffle
гобелен	tapestry
гоблин	bugbear
говорить слишком возбужденно	rave
говорить шепотом	whisper
голова	pate; noggin
головокружительный	dizzy
головоломка	puzzle
головорез	thug
голод	famine; starvation
голодание	starvation; famine
голодать	hunger
голодная смерть	starvation
голословное утверждение	allegation
голосование	ballot; poll
голосовать	poll
голубка	dove
голубь	dove
голый	bare
горб	hump
горбиться	hump
горбун	hunchback
гордиться	pride
гордость	pride; dignity; vanity
гордыня	pride
горе	grief; woe; distress; regret; sorrow
горевать	grieve; lament; mourn; regret
горестный	grievous
гореть	combust; burn
горит	lit
горн	bugle
горностай	stoat; weasel
горняк	miner
горох	pea
горошина	pea
горстка	handful
горсть	handful
гортань	larynx
горький	acrid
горячо	ardently
гос. переворот	coup
гос.измена	treason
господствовать	predominate; prevail
государственное казначейство	treasury
государство	state
готовый к употреблению	ripe
готовый помочь	obliging
грабеж	plunder; loot
грабить	pillage; loot; plunder
грабли	rake
гравер по дереву	woodcutter
гравий	gravel
гравировать	etch
град	hail
гражданские волнения	commotion
гражданское правонарушение	tort
грамматическая связка	copula
грамотность	literacy
грандиозный	grandiose
граница	boundary
граничить	adjoin
грант	fellowship
грань	cusp; verge; facet
график	schedule
гребень	crest; ridge
гребля	sculling
греметь	rattle; clank
грести	paddle
грести (в лодке)	row
греховный	sinful
грецкий орех	walnut
гречка	buckwheat
грешный	sinful; wicked
грива	mane
гриф	vulture
гроб	casket; hearse
грозить	threaten
грозный	formidable
громадный	vast; huge
громить	smash
громко	aloud
громоздкий	bulky; cumbersome
громыхание	rumble
гроссбух	ledger
грохот	rumble
грохотать	rumble
грубо	roughly
грубоватый	uncouth; blunt
грубость	coarseness
грубый	coarse; rude; crude; gross
грубый человек	cad
грудная клетка	thorax; chest
грудь	bosom; chest
груженый	laden
груз	consignment
грузовик	lorry
грунт	priming
грунтовка	priming
группа	batch; platoon
грустный	blue
грусть	sadness; sorrow
грызть	gnaw
грядущий	forthcoming
грязнить	soil
грязный	filthy; grubby; sordid
грязь	mud
губить	scathe
гудение	hum
гудок	toot
гудрон	tar
гул	hum
гулкий	hollow
гулянка	carousal
густо	densely
густой	thick; turbid
густой туман	fog
густота	density
давать взаймы	loan
давать возможность	empower
давать волю	unleash
давать гудок	toot
давать клятву	oath
давать обет	pledge
давать отпор	rebuff
давать оценку	estimate; evaluate
давать побеги	sprig
давать показания	testify
давать право	entitle
давать разрешение	permit
давать сбой	malfunction
давать совет	counsel
давать согласие	consent
давиться	choke
давка	stampede
давление	duress; pressure; enforcement
давний	distant
даже	even
дал зарок	swore off
далее	farther; further
далекий	distant
дальнейший	further
дальше	farther; forth; further
дамба	levee; embankment
дамская сумочка	purse
данник (платящий дань)	tributary
данный	particular
дань	homage; tribute
дань уважения	homage; tribute
дарить	grant
даровать	grant
дата	date
дата погашения	maturity date
датировать задним числом	predate
дать отсрочку	respite
двигать	propel
двигаться	stir
движение вперед	propulsion
двойник	counterpart
двойственность	duality; duplicity
двор	court
дворецкий	butler
дворник	janitor
двуличность	duplicity
двусмысленный	ambiguous
дева	damsel
девица	damsel
девка	wench
девушка с красивым телом, но не красивым лицом	butterhead
деготь	tar
деградировать	deteriorate
дедуктивный	inferential
дезавуировать	disavow
дезертир	defector
действие	influence; deed
действительно	indeed
действительный	validated
действовать	proceed
действовать нерешительно	falter
действовать сообща	concur
действующий	incumbent; operable
декламировать	recite
декларировать	proclaim
декорации	scenery
декорировать	decorate
декретный отпуск	maternity leave
делать бесполезным	shrivel
делать вид	pretend
делать вклад	contribute
делать выдержки	excerpt
делать заключение	infer
делать назло	spite
делать насыпь	mound
делать необходимым	necessitate
делать попытку	attempt
делать разминку	limber up
делать реальным	substantiate
делать ровным	flatten
делать сбережения	save up
делать тайком	sneak
делать успехи	get on
делаться тугим	stiffen
делимый	divisible
делитель	divisor
делить	apportion
делить на части	parcel out
дело	affair; deed; undertaking
делящийся без остатка	divisible
дендрарий	arboretum
денежный	pecuniary
денежный долг	debt
денежный ящик	cash drawer
денонсировать	denounce
депо	depot
депрессант	downer
депутат	deputy
деревенеть	stiffen
деревенский	rustic
держать	wear
держать взаперти	confine
держаться	behave
держаться в стороне	shun
держаться вместе	flock
дерзкий	audacious; impertinent; saucy; defiant
дерзость	audacity; impudence
дерн	divot
деструктивный	disruptive
детальный	elaborate
детеныш	cub
детская	nursery
детская коляска	pram
детская кроватка	crib
детский дом	orphanage
детство	childhood
дефект	shortcoming
дефис	hyphen
дефицит	deficiency; shortfall; scarcity; shortage
дефицитный	scarce
диапазон	range
диафрагма	aperture
диванная подушка	cushion
дивиденты	payout
дикарь	savage
дикий	feral; savage
дикобраз	porcupine
дилетант	dilettante
динамичный	vibrant
дипломат	briefcase
дипломатический представитель	envoy
дирижерская палочка	baton
дирижирование	conducting
дисквалицировать	recuse
дискомфорт	awkwardness
дискуссионный	controversial
дискуссия	controversy
диссонанс	discord
дистанция	range
длинноносый	nosy
длительный	lasting
для простоты	for the sake of simplicity
для сведения заинтересованных лиц	to whom it may concern
для того чтобы	in order to
длящийся	lasting
до некоторой степени	somewhat
до свидания	farewell
до сих пор	hitherto; so far; still; thus far; up to this point
до таких пределов	insofar
до такой степени	insofar
до этого момента	up to this point
добавление	supplement
добавочный	complementary
добиваться	attain; gain; seek
добираться	attain
доблесть	prowess; valor
добровольный	voluntary
добродетель	virtue
доброе дело	kindness
доброжелательность	benevolence; kindness
добросовестный	conscientious; faithful
доброта	gentleness; kindness
добрый	generous
добрый путь	farewell
добыча	loot; prey
доведенный до отчаяния	desperate
