advise	советовать; извещать; консультировать	Why would Republicans take advise from a Democrat?
advisory	совещательный; консультативный; рекомендательный	Attached to this advisory is the current Illinois Department of
afar	издалека; издали	For months he had loved her from afar
affable	приветливый; любезный	An affable and agreeable companion.
affably	приветливо; учтиво	She has always been affably articulate
affair	роман; дело	I agree with Meghan that the affair is a private matter.
affectation	притворство; манерность; жеманство	I think a lot of characters start in affectation and then build from there.
affection	нежность; любовь; привязанность	Our affection is the most ardent.
affinity	близость; родственность; сходство	But I have a certain affinity for the weak odor of a pig farm.
affirm	подтверждать; утверждать; одобрять	Than that which I now affirm is true.
affirmative	утвердительный; положительный	Affirmative action has become more controversial.
afflict	огорчать ; тревожить; беспокоить	At the same time, it meant “to afflict” or “to trouble.”
affluent	богатый; полноводный; обильный; приток реки	Do you think that landlords in affluent areas take vouchers?
afford	позволить себе; быть в состоянии; позволять	They are ignoring transportation costs as a factor in afford-ability.
aficionado	поклонник; болельщик	Aficionados of the finest wines.
aforementioned	вышеупомянутый	Some things deserve to be called out and the aforementioned is one of them.
afraid	испуганный; боящийся; напуганный	I'm afraid we couldn't allow you to be a mere figurehead.
aft	кормовой; корма	I caught him aft from the galley on a trip to the lazarette for provisions.
after a while	вскоре; немного погодя; спустя некоторое время	After a while her voice really started to grate on me.
aftermath	последствие	The tragedy of the aftermath is almost constantly before me.
afterwards	впоследствии; позже; потом	The offender was arrested shortly afterwards
agenda	повестка дня; программа; тайные планы	The Bloc's main agenda is the dissolution of Canada.
aggravate	усугублять; отягчать	Military action would only aggravate the situation
aggregate	собирать в целое; совокупность; объединять; общий	Who doesn't want you to think in the aggregate is a saleman.
agility	ловкость; проворство; подвижность	Almost any sport that requires agility is dominated by black players.
aid	помощь; поддержка; помогать	Since 1949 Israel has received $106 billion dollars in aid from the US.
ail	болеть; недомогать	Exercise is good for whatever ails you
aim	цель; стремиться; намерение; нацеливаться	The other main aim is to look how we can increase the use of the system.
airhead	пустоголовый; болван	Somehow with Obama, airhead just doesn't pass muster.
aisle	проход; проход между рядами; боковой неф храма	A stroll down a supermarket aisle is enlivened by signs such as this one:
aisle seat	место у прохода	Passengers who prefer the aisle seats say it's better because
akin	похожий; сродни; родственный	I froze, with an expression akin to Bambi caught in headlights.
alarm	тревога; сигнал тревоги; тревожить	Most areas, only the Alarm security people arrive if the alarm is activated.
alarming	тревожный; волнующий; тревога; настораживающий	Enemies around the world growing in alarming numbers
alas	к сожалению; увы	This, alas, is not a reasonable way to write a novel.
albeit	хотя; тем не менее	This question bothers me, albeit from a different perspective.
alga	морская водоросль; водоросль	But we also might consider yeast and other fungi, or even unicellular alga.
algae	водоросли	The promise of algae is that it can be located anywhere that gets lots of sun.
align	выравнивать; согласовывать	Gently brush the surface to align the fibers
alignment	регулировка; выверка; согласование; выравнивание	The current liberal alignment is none of these things.
alimony	алименты; помощь	Bonder Kerkorian originally sought $320,000 a month in alimony and child support.
allegation	обвинение; заявление; голословное утверждение	He made allegations of corruption against the company.
allege	утверждать; ссылаться	But I think they prefer being double-minded over what they allege is narrow-minded.
allegedly	якобы; будто бы	He was allegedly a leading participant in the coup attempt
allegiance	преданность; верность	Their real allegiance is not to any country, but to mammon.
alleviate	облегчать; смягчать	Kasrils said addressing these issues would alleviate a lot of problems.
allocate	распределять; размещать; выделять	Obama tapped VP Joe Biden to allocate the stimulus $$trillions.
allot	выделять; предназначать; раздавать	We cannot properly allot blame for the error until we understand what
allotment	выделение; надел; доля	The duty-free allotment is per capita, not per stirpes.
allowance	карманные деньги	The surplus of others allowance is also available.
alloy	сплав; примесь; легировать	Plus, the iron alloy is much thinner, meaning it can even be used for brain stents.
allude	намёк; намекать; упоминать	We will allude briefly to the main points.
almond	миндаль; миндальный	It is a thin almond biscuit, curved like a roman tile.
almost	почти; чуть-чуть; едва ли	Thanks Aria - the chard is almost too lovely to eat..almost;
alms	милостыня; подаяние	The riders stopped to distribute alms
along	вдоль; попутно; вместе	Now fweep along its top, now neigh along the vale
alongside	около; бок о бок; рядом	She also wanted his name alongside the other four victims.
aloof	отчуждённый; в стороне; поодаль	We cannot afford to remain aloof from the constitutional debate.
aloud	вслух; заметно; громко	Saying her name aloud brought everything back in a rush.
alter	изменять; переделывать; видоизменять	Their alter is to their gods of money and power where they sacrifice human life.
alternately	попеременно; по очереди	Beat them in alternately with the coffee mixture.
amass	накопить; собирать	There were also ancestors who had managed to amass a considerable fortune.
amazement	удивление; изумление	AQ is watching in amazement as the administration refuses to interrogate them.
ambient	атмосфера; обтекающий	The liquid is stored at below ambient temperature
ambiguous	двусмысленный; неоднозначный	The person who needs to stop being ambiguous is you.
ambush	засада; нападать из засады; заманивать	Pinned down in ambush, get your ass over here stat!
amenable	поддающийся; податливый; сговорчивый	The patients had cardiac failure not amenable to medical treatment.
amend	вносить изменения; исправлять	Pressuring Panama to amend its banking laws
amendment	поправка; изменение; исправление	An amendment to existing bail laws.
amenity	удобства	A passenger amenity from the first commercial space flight shuttle.
amiably	любезно; приветливо	She called amiably in a quavery old-woman voice.
amicable	дружелюбный; дружеский	Peters on his knees, engaged in amicable conversation.
amid	среди	Set amid magnificent rolling countryside
amidst	среди	Amidst all our abundance.
amiss	неладно; неправильно; некстати	There was something amiss about his calculations.
ample	широкий; обильный; обширный	There is ample time for discussion.
amplification	усиление; увеличение; распространение	Yet despite the problems in amplification, I was not sorry that I attended.
amplify	увеличивать; расширять	The notes amplify information contained in the statement.
amply	щедро; обильно	The persistent reader is amply rewarded.
amuse	забавлять; развеселить; развлекать	I love the idea of amuse bouche through out the meal...
amusement	изумление; забава; развлечение	Peter Singer: There is no excuse for keeping wild animals in amusement parks or circuses.
ancestor	предок; прародитель; юр. предшествующий владелец	Note that the ancestor is related to itself, so it is also included in the set.
and so on	and so forth; и так далее; и тому подобное	These snacks include cheeses, cold meats, and so on
anew	снова; опять	Building anew skip to main
angular	угловатый; заострённый	An electron spins like a top, i.e. it possesses spin angular momentum.
animosity	враждебность; злоба; вражда	He no longer felt any animosity toward her.
ankle	лодыжка; щиколотка	The ankle is expected to be healed when August practices begin.
annular	кольцевой; кольцеобразный	The name annular eclipse comes from the Latin annulus, meaning ring.
anthill	муравейник	Now maybe a thousand kilometers away from our anthill is another anthill.
antic	шалости; фиглярство	That's the kind of antic moment you get out of the best pulp.
anticipate	предчувствовать; предвидеть; ожидать	The really hard thing to anticipate is the completely game-changing advances.
anticipation	ожидание; предчувствие; предвкушение	Please hold your breath in anticipation of that event.
anvil	наковальня	Between the hammer and the anvil
anxiety	беспокойство; тревога	I'm hoping it's not sophistry to argue that this anxiety is the point.
anxious	озабоченный; тревожный	Katie leaned across the seat, her expression anxious.
anywise	каким-нибудь образом; любым способом	They rejoined, All is as it was and naught is in anywise changed.
apace	быстро; быстрыми темпами	Manuel continues apace but this is about something else.
apart	отдельно; кроме; в стороне	I supposed he's got nothing to win apart from the point.
aperture	отверстие; диафрагма	The aperture is 20 ft. wide, and is still widening.
apex	вершина; зенит	My thought process begins where the regular human apex is at.
apologize	извиняться; приносить извинения; просить прощения	The only person needing to apologize is the arresting officer.
apology	извинение; оправдание	A specious apology for capitalism.
apparel	одежда; наряд	A. Bank, as I feel like their apparel is a little bit more shoddy.
apparent	очевидный; несомненный; видимый; явный	It became apparent that he was talented
apparently	вероятно; по-видимому; очевидно; видимо	The title apparently refers to the weight of a human heart.
appeal	привлекать; притягивать; призыв	A book whose main appeal is the writing style.
appearance	наружность; внешний вид	They're very different in appearance from the ordinary pain-in-the-neck kind.
appease	успокоить; унять; утолить	I believing in appease the Corporate Power and the bourgeoisie.
append	прикрепить; присоединять	I call append on this element to populate it with data.
appendage	придаток; аппендикс; приложение	They treat Scotland as a mere appendage of England
appliance	прибор; приспособление; устройство	I do most of the camp cooking and my favorite kitchen appliance is the crock pot.
apply	применять; использовать; обращаться	Does this label apply to everyone in their twenties?
applying	применение; использование; претендует	If you are applying for the Summer 2021
appoint	на должность; назначать время	McCain appoint supreme court justices
apportion	распределять; разделять; делить	Census data will be used to apportion Congressional seats to each state.
appraisal	экспертиза; оценка	The report has been subject to appraisal
appraise	оценивать; расценивать	So jeweler friends could appraise them.
appreciate	оценивать; высоко ценить; быть признательным	One of the thing both men told us they appreciate is the watch fire.
apprehend	предчувствовать; опасаться; арестовывать	And this, we apprehend, is what very few first performances can pretend to.
apprentice	подмастерье; новичок; ученик	In many of these stories, the apprentice is a sorcerer's apprentice.
apprise	извещать; информировать	I thought it right to apprise Chris of what had happened.
approach	подход; метод; приближаться; подходить	This approach is actually a good example of a trend that ought to be disturbing.
approbation	одобрение; похвала; разрешение	The opera met with high approbation
appropriate	соответствующий; подходящий	A measure appropriate to a wartime economy
approval	одобрение; утверждение; рассмотрение; согласие	The 48 percent approval is a 7 point drop in approval from last month.
approve	одобрять; утверждать; показывать	So what is Newt & Palin approve of President Obama's speech?
apron	фартук; передник	That apron is super cute.
aptitude	способность; пригодность	Differences in aptitude probably predated selective breeding by slave owners.
aptly	удачно; метко	America's aptly named Sunshine State.
arable	культивируемый; пахотный	41The other way to gain arable land was reclamation.
arbitrary	произвольный; случайный	His mealtimes were entirely arbitrary
arboretum	заповедник	So having ramps connecting from SR 520 in/out of the arboretum is paving it?
archly	лукаво	I giggled archly, wiggling deeper into his embrace.
ardently	горячо; пылко; страстно	Sor0bama saying he believes in the free market ardently
ardor	пыл; азарт; задор	Their ardor is their crown, before which the languid and the passive bow.
argue	спорить; доказывать; убеждать; утверждать	I think what you can argue is we're stuck in neutral.
arguing	спорить; утверждать	Begin arguing with you, nor did I argue with you here.
aridity	засушливость	An island of long-term aridity in a sea of climatic change.
armpit	подмышка	When you were 9, playing your armpit was a cool trick.
arousal	возбуждение; пробуждение	Sexual arousal in dreams is common
arouse	пробуждать; возбуждать; будить; раздражать	He could arouse life in me.
arrange	договариваться; выстраивать; располагать; устраивать	Under each title arrange the varieties in a similar relation.
arrear	задолженность; просрочка	A half-daily paper leaves one several hours in arrear.
arrogance	высокомерие; надменность; самонадеянность	Your arrogance is astonishing as is your capacity for self delusion.
arrogant	высокомерный; надменный	Obama the arrogant is a very small man not fit to be president.
arson	поджог	Police are treating the fire as arson.
artifice	уловка; хитрость; выдумка	They assumed that we must live by artifice, and they entitled artifice science.
as appropriate	в зависимости от обстоятельств; по мере необходимости	Will continue to act as appropriate to sustain the economic expansion
as for me	по моему мнению; что касается меня	As for me and my house, we will serve the Lord
as to	относительно; что касается	Decisions as to which patients receive treatment
as well	также; тоже; с таким же успехом; кроме того	I may as well have a look
ascend	подняться; восходить	To see a balloon ascend from the Plaza de Toros.
ascertain	выяснять; удостоверяться; убеждаться	I was able to ascertain from the News forum that there's at least one Telcel shop in Alamos.
ascertainment	установление; выяснение	Also the essential steps of the ascertainment of the result could not be retraced by the public.
ascribe	приписать; приписывать	To what do you ascribe your phenomenal success?
ashamed	пристыжённый	I think the one that should be ashamed is Michael Steele.
ashore	на берег	When I sail, they sail; when I remain ashore, they remain ashore.
aside	отдельно; прочь	And that's why leaders in the party need to put the label aside and get real.
askew	косо; набекрень; искоса	Alas, my mind was on Los Gigantes, and thus askew stuck.
aslant	наискось; косо; поперек	For years, people would look aslant at me, when I would make that statement.
asparagus	cпаржа	What I meant was not that asparagus is corn, or that corn is asparagus.
aspect	сторона; внешний вид	But the main aspect is that the Laureates methodology…
aspen	осина	Aspen is noted for its ability to regenerate vegetatively.
aspiration	стремление; желание; устремления	That is a long-term aspiration which is very sensible.
aspire	стремиться	To live is to aspire; to cease to aspire is to die.
assault	нападение; атака; нападки	This renewel of the Palin assault is not for entertainment.
assent	согласие	There was a murmur of assent from the audience.
assert	утверждать; заявлять	Admitting the comparision that you assert is unrelibale.
assertive	настойчивый	Being assertive is saying, politely but firmly.
assess	оценивать	But the first thing you have to assess is why did you lose.
assessment	оценка	A faulty tract that disagrees with my assessment is here.
asset	актив; имущество	Your main asset is credibility, not money or size.
assimilate	усваивать; впитывать; уподоблять	Marie tried to assimilate the week's events.
assume	предполагать; допускать; принимать	FYI, my Munger, which I assume is shorthand for War Monger!
assumption	предположение; вступление в должность; допущение	On this assumption is the reason for the password.
assure	уверять; гарантировать	I'll assure the others of your innocence.
astonish	удивлять; изумлять; поражать	Hulk tales to astonish fully painted graphic novel
asylum	убежище; приют	She applied for asylum and was granted refugee status
at most	максимум; в большинстве	You'll find vitamin C for sale at most pharmacies.
atilt	наперевес	He kept his head slightly atilt, however, to prevent being surprised from behind.
atone	искупить; заглаживать	It leads into the headless heart: the belief that we should 'atone' by charity.
atrocity	зверство; ужас	The road to disgraces like the Duke atrocity is short and direct.
attain	достигать; добираться	That is a position which very few women can attain, that is, very few single women.
attainment	достижение; приобретение	The end of all scholarly attainment is to live nobly.
attempt	пытаться; делать попытку; пробовать; попытка	An attempt to halt the bombings.
attend	посещать; присутствовать; уделять внимание; следить	Anyone who would like to attend is more than welcome.
attendant	слуга; служитель	I love the ending, “Paying off the attendant is not winning.”
attentive	внимательный; вежливый; заботливый	I agree that we all must of course remain attentive.
attenuation	ослабление; затухание; истощение; разжижение	Human security required the attenuation of a wide range of threats to people
attest	свидетельствовать; подтверждать; удостоверять	Who have seen it can attest, is not large and is mainly covered in decking.
attic	чердак; фронтон	I discovered a dozen rolls of the original wallpaper in a tin trunk in the attic
attire	наряд; наряжать	Frankly, Nazi attire is fraught with meaning that Confederate garb isn't.
attitude	отношение; позиция	I think this attitude is an immense barrier to entry.
attorney	адвокат; поверенный; юрист	A court in which the attorney is authorized to practice; or
attraction	влечение; притяжение; привлекательность; аттракцион	It is also another way to gain attraction from the public.
attrition	истощение; изнурение	Leadership attrition is a major problem for any type of army.
audacious	дерзкий; смелый	Obama has been called audacious, and he certainly is.
audacity	дерзость; наглость	Her audacity came in handy during our most recent emergency.
augment	прибавление; увеличение; увеличивать	This supports efforts to augment its credit-card unit business, he said.
austerity	суровость; аскетизм; строгость; экономия	He was noted for his austerity and his authoritarianism
authenticity	достоверность; подлинность; аутентичность	Capturing a sense of authenticity is just too much of an effort.
authority	власть; влияние; авторитет; полномочие	His main authority is Michael Wood.
autodidact	самоучка	An autodidact prodigy who masters nature through instruments and reason
avail	выгода; быть полезным	Luna tries to hunt desert rabbits, to no avail, which is good.
avalanche	лавина; снежный обвал	Collaborate with Cemagref, the world leading institution in avalanche science.
avenge	мстить; отомстить	Only a burning desire to clear my name and avenge my mentor.
averse	нерасположенный; неохотный; несклонный	Being seriously risk averse is as harmful as having too much risk tolerance.
avert	предотвращать; отвращать	People remember to avert their eyes.
avian	птичий	There's even an avian from a gaseous tiny-giant.
avid	заядлый; жадный	Even George Washington was known as an avid fox hunter.
avidly	жадно; страстно; алчно	Mrs. Edwards took in every word avidly while she ate.
avoid	избегать; уклоняться; сторониться	The real trap to avoid is the one where he listens to rightwing goons and their fairytales.
avulsion	отрыв; вырывание; насильственное разъединение	Left groin avulsion of the adductor longus muscle.
awe	страх; благоговение; трепет; уважение	They gazed in awe at the small mountain of diamonds
awkward	неуклюжий; неловкий	You have put me in a very awkward position.
awkwardness	неловкость; дискомфорт; неуклюжесть	However, awkwardness is not a condition that is limited to gawky teens.
awl	шило	And his master shall bore his ear through with an awl
axis	ось	The Earth revolves on its axis once every 24 hours.
babble	болтовня; лепетать; заикаться	The babble is inane, but its heart is in the right place.
bachelor	холостяк	 Supernatural, minus one hot bachelor, is on ours.
back country	глушь; глубинка	And travel for all things backcountry skiing
backdrop	фон	Too bad its backdrop is such a hideous looking venue.
backfire	отдача; оборачиваться против	What will backfire is when Reps link Obama to Carter.
backhand	наотмашь	His backhand is better, and his net play is more adept.
backlash	обратная реакция; люфт	Well, buckle your seat belts: the backlash is here.
backstab	удар в спину	Officers and soldiers not to backstab each other when subjected to a loyalty check.
badge	значок	She wore a name badge on a beaded lanyard.
badger	барсук	He'll produce a badger from a sack.
bail	залог; поручительство	The bail is probably the trickiest part of the spinning reel.
bailiwick	сфера компетенции; знакомая область	My bailiwick is law firm libraries, as opposed to academic libraries.
bailout	финансовая помощь; спасение от банкротства	Would be different than the 2008 bailout.
bait	приманка; завлекать; искушать	Anyone that thinks hunting over bait is easy, hasn't done it!
bake	печь; выпечка; сушить на солнце	I think the Tom Douglas salmon bake is a good idea.
bald	лысый; неприкрытый; прямой	He was starting to go bald
ballot	голосование; бюллетень; результаты голосования	A primary with only one candidate for any reason on the ballot is a joke.
ballpark	примерное количество; стадион; приблизительный	The ballpark figure is $400–500
bang	удар; стук	Whatever it is, going out with a bang is a great idea.
baptize	крестить	He was baptized Joshua 
bar	плитка шоколада; брус; преграждать путь	The Windows start bar, around 40%t of the screen gets chewed up.
barb	шип; колючка; бородка	The barb is a modified scale so there are no nerves or blood.
barbell	штанга; гантель	You'll need a bench, a set of dumbbells, a barbell and assorted weight plates.
bare	голый; обножить	Professional development in bare Swing nowadays is something really odd.
barefoot	босиком; босой	A lot of people are chasing returns in barefoot banking.
barely	едва; с трудом	His eyes darkened, his expression barely controlled.
barf	рвота; рвать	That second to last picture is just barf but I'm not sure why.
bargain	сделка; соглашение; договоренность; торговаться	The growth in Irish bargain websites recently.
bark	лаять; лай; кора	Their bark is worse than their bite.
barley	ячмень	Bake at 350 until barley is tender and has absorbed liquid, about 1 - 1 1/2 hour.
barn	сарай; амбар	Moved into that barn of a house
barrage	заграждение; плотина	Rachel calmly smiles and waits until the barrage is over.
barred	запрещенный	Because Astana was barred from the race because of doping scandals.
barrel	бочка; ствол	The inside of this barrel is as beautiful as Ms. Natalie Portman, shown at left.
barring	за исключением; исключая	I don't believe the answer lies in barring foreign investment.
barrow	тачка; ручная тележка; курган	The man who wheeled the barrow was the world-famous Blondin.
batch	партия; группа; серия	A batch of cookies
bath tub	ванна	We know the value of a bath tub
bathe	купаться; обмывать тело; мыть	Watching her bathe was a sensual event in and of itself.
baton	эстафетная палочка; полицейская дубинка; дирижёрская палочка	Even the station-master's signal baton is almost too much for her.
batter	сильно бить; колотить; дубасить; кляр; жидкое тесто	Gradually stir in AP flour until a loose batter is formed.
battered	потрёпанный; изношенный; избитый; мятый	Battered women's syndrome.
battlement	бойница; зубчатая стена	Moving along the battlement toward them.
bayonet	штык; цоколь лампы	And keeping the sword bayonet very handy.
be in charge	нести ответственность	Narrator will be in charge of the community service.
be present	быть в наличии; присутствовать	The empirical data may often be present at company level. 
beacon	маяк	She was a beacon of hope for those children
bead	бусина; шарик; капля	If the bead is on the mark whatever it is, is down.
beak	клюв; носик	However, this only works when the base of the beak is wet.
beams	балка; перекладина; брус	Seeing a deer with main beams over 30 inches is rare.
beastliness	скотство; свинство	Flyers 'talent supply matches up well, but their real advantage is in beastliness.
bedraggled	потрепанный; испачканный; забрызганный	Kind of bedraggled like, I said to myself, well, I've saved Peter from that at any rate.
beforehand	заранее; заблаговременно; вперёд; преждевременно	I guarantee new customers will never find you without knowing your name beforehand.
beg	просить; просить подаяния; нищенствовать; умолять	But this story about sending them out to beg is new to me.
begone	убирайся прочь!; вон; убирайся; прочь	Begone from my sight!
begrudgingly	неохотно; завистливо	He somewhat begrudgingly accepted a reduced role for the better of the team.
behalf	от чего-то имени; от лица	I picked the easiest and most obvious evidence in behalf of ID for that illustration.
behave	вести себя; поступать; держаться	They all behave is very similar way.
behaviour	поведение; манеры; поступки; образ действий	They have no insight that their behaviour is actually problematic.
behold	видеть; вот; созерцать	The botanical gardens were a wonder to behold
belligerent	воинственный	A foreign enemy belligerent is actually tried for war crimes.
belly	живот; пузо; брюхо	Belly fat.
belong	принадлежать; быть частью; быть родом из	But the design of the ones to which I belong is not mine.
beloved	любимый; возлюбленный	She replied, Not so, my beloved is the fairer; woe to thee, O Dahnash!
bemuse	ошеломлять	The gendered language in this country will never cease to bemuse me.
bench	скамья; лавочка	Coming off the bench is the hardest thing
benchmark	ориентир	If sea levels rise, the benchmark is their levels now.
bend	поворот; согнуть; сгибать	However, will definitely remember to bend from the knees.
beneath	под; внизу; ниже	If cleaning isn't beneath me, it isn't ­beneath you.
benefaction	благодеяние; благотворительность; милость	He was president of the Stanford University, a private benefaction of the times.
benevolence	благотворительность; щедрость; доброжелательность	She bequeathed a benevolence from her vast fortune.
benevolent	великодушный; благотворительный; щедрый	A benevolent smile
bequeath	завещать; передавать; оставлять по завещанию	Flexibility is nothing to bequeath
bequest	завещание; наследство; посмертный дар	Procopius, who, alleging as his title a bequest of the Emperor
berate	ругать; бранить	A bike doesn't constantly berate you over every single thing you do.
bereft	лишенный	She sits alone, lost in thought, her expression bereft, a tissue in her hand.
beside	рядом; рядом с; около	Boucheau, the name beside the bottom button reads.
besides	кроме того; сверх того; за исключением; кроме	I have no other family besides my parents.
bespoke	сделанный на заказ; индивидуальный	All our dedicated solutions are bespoke to your individual needs.
bethink	вспомнить	Good Nectabanus, bethink thyself
betray	предавать; изменять; обманывать	A double agent who betrayed some 400 British and French agents
betrothed	обручённый; помолвленный	How long have you known your betrothed?
betwixt	между	The private difference betwixt you and the cardinal
beverage	напиток	Drinking the local beverage is a sure way to warm the hearts of the locals.
beware	остерегаться; опасаться; беречься	Consumers were warned to beware of faulty packaging
beyond	за; вдали	And in the clause 'having passed beyond that bridge' the passing beyond means
bias	предубеждение; уклон; предвзятость	There was evidence of bias against foreign applicants
