alas	к сожалению; увы	This, alas, is not a reasonable way to write a novel.
allegation	обвинение; заявление; голословное утверждение	He made allegations of corruption against the company.
allegiance	преданность; верность	Their real allegiance is not to any country, but to mammon.
alleviate	облегчать; смягчать	Kasrils said addressing these issues would alleviate a lot of problems.
allude	намёк; намекать; упоминать	We will allude briefly to the main points.
aloof	отчужденный; в стороне; поодаль	We cannot afford to remain aloof from the constitutional debate.
amass	накопить; собирать	There were also ancestors who had managed to amass a considerable fortune.
amazement	удивление; изумление	AQ is watching in amazement as the administration refuses to interrogate them.
amenable	поддающийся; податливый; сговорчивый	The patients had cardiac failure not amenable to medical treatment.
amiably	любезно; приветливо	She called amiably in a quavery old-woman voice.
amiss	неладно; неправильно; некстати	There was something amiss about his calculations.
ample	обильный; достаточный; обширный	There is ample time for discussion.
amplification	усиление; увеличение; распространение; расширение	Yet despite the problems in amplification, I was not sorry that I attended.
amplify	усиливать; увеличивать; расширять	The notes amplify information contained in the statement.
amply	щедро; обильно	The persistent reader is amply rewarded.
amusement	изумление; забава; развлечение	Peter Singer: There is no excuse for keeping wild animals in amusement parks or circuses.
anew	снова; опять	Building anew skip to main
animosity	враждебность; злоба; вражда	He no longer felt any animosity toward her.
annular	кольцевой; кольцеобразный	The name annular eclipse comes from the Latin annulus, meaning ring.
anxiety	беспокойство; тревога	I'm hoping it's not sophistry to argue that this anxiety is the point.
anxious	озабоченный; тревожный	Katie leaned across the seat, her expression anxious.
apace	быстро; быстрыми темпами	Manuel continues apace but this is about something else.
aperture	отверстие; диафрагма	The aperture is 20 ft. wide, and is still widening.
appeal	обращаться; призыв; привлекать; притягивать	A book whose main appeal is the writing style.
appease	успокоить; унять; утолить	I believing in appease the Corporate Power and the bourgeoisie.
appliance	прибор; приспособление; устройство	I do most of the camp cooking and my favorite kitchen appliance is the crock pot.
apportion	распределять; разделять; делить	Census data will be used to apportion Congressional seats to each state.
appraisal	экспертиза; оценка	The report has been subject to appraisal
apprehend	предчувствовать; опасаться; арестовывать; задерживать	And this, we apprehend, is what very few first performances can pretend to.
apprise	извещать; информировать	I thought it right to apprise Chris of what had happened.
approbation	одобрение; похвала; утверждение	The opera met with high approbation
aptitude	способность; пригодность	Differences in aptitude probably predated selective breeding by slave owners.
aptly	удачно; метко	America's aptly named Sunshine State.
ardently	горячо; пылко; страстно	Sor0bama saying he believes in the free market ardently
aridity	засушливость	An island of long-term aridity in a sea of climatic change.
arousal	возбуждение; пробуждение	Sexual arousal in dreams is common
arrear	задолженность; просрочка	A half-daily paper leaves one several hours in arrear.
artifice	уловка; хитрость; выдумка	They assumed that we must live by artifice, and they entitled artifice science.
ascend	подняться; восходить	To see a balloon ascend from the Plaza de Toros.
ascertain	выяснять; устанавливать; удостоверяться; убеждаться	I was able to ascertain from the News forum that there's at least one Telcel shop in Alamos.
ascertainment	установление; выяснение	Also the essential steps of the ascertainment of the result could not be retraced by the public.
ascribe	приписать; приписывать	To what do you ascribe your phenomenal success?
aslant	наискось; косо; поперек	For years, people would look aslant at me, when I would make that statement.
aspiration	стремление; желание; устремления	That is a long-term aspiration which is very sensible.
aspire	стремиться	To live is to aspire; to cease to aspire is to die.
assent	согласие	There was a murmur of assent from the audience.
assert	утверждать; заявлять	Admitting the comparision that you assert is unrelibale.
assertive	настойчивый; напористый	Being assertive is saying, politely but firmly.
astonish	удивлять; изумлять; поражать	Hulk tales to astonish fully painted graphic novel
atone	искупить; заглаживать	It leads into the headless heart: the belief that we should 'atone' by charity.
atrocity	злодеяние; зверство; ужас	The road to disgraces like the Duke atrocity is short and direct.
attainment	достижение; приобретение	The end of all scholarly attainment is to live nobly.
attentive	внимательный; вежливый; заботливый	I agree that we all must of course remain attentive.
attenuation	ослабление; затухание; истощение; разжижение	Human security required the attenuation of a wide range of threats to people
attest	свидетельствовать; подтверждать; удостоверять	Who have seen it can attest, is not large and is mainly covered in decking.
attrition	потертость; истощение; изнурение	Leadership attrition is a major problem for any type of army.
audacious	дерзкий; смелый	Obama has been called audacious, and he certainly is.
audacity	дерзость; наглость; мужество; смелость	Her audacity came in handy during our most recent emergency.
austerity	суровость; аскетизм; строгость; экономия	He was noted for his austerity and his authoritarianism
avail	выгода; польза; быть полезным	Luna tries to hunt desert rabbits, to no avail, which is good.
avenge	мстить; отомстить	Only a burning desire to clear my name and avenge my mentor.
avert	предотвращать; отвращать	People remember to avert their eyes.
avulsion	отрыв; вырывание; насильственное разъединение	Left groin avulsion of the adductor longus muscle.
awe	страх; благоговение; трепет; уважение	They gazed in awe at the small mountain of diamonds
babble	болтовня; лепетать; заикаться	The babble is inane, but its heart is in the right place.
backdrop	фон	Too bad its backdrop is such a hideous looking venue.
backlash	обратная реакция; люфт	Well, buckle your seat belts: the backlash is here.
badger	барсук	He'll produce a badger from a sack.
bail	залог; поручительство	The bail is probably the trickiest part of the spinning reel.
bailiwick	сфера компетенции; знакомая область	My bailiwick is law firm libraries, as opposed to academic libraries.
bailout	финансовая помощь; спасение (от банкротства)	Would be different than the 2008 bailout.
bait	приманка; завлекать; искушать	Anyone that thinks hunting over bait is easy, hasn't done it!
ballot	голосование; избирательный бюллетень; результаты голосования	A primary with only one candidate for any reason on the ballot is a joke.
bang	хлопнуть; удар; стук	Whatever it is, going out with a bang is a great idea.
bare	голый; обнажить	Professional development in bare Swing nowadays is something really odd.
barely	едва; с трудом	His eyes darkened, his expression barely controlled.
barf	рвота; рвать	That second to last picture is just barf but I'm not sure why.
barrage	заграждение; плотина	Rachel calmly smiles and waits until the barrage is over.
barred	запрещенный	Because Astana was barred from the race because of doping scandals.
barring	за исключением; исключая	I don't believe the answer lies in barring foreign investment.
beastliness	скотство; свинство	Flyers 'talent supply matches up well, but their real advantage is in beastliness.
begrudgingly	неохотно; завистливо	He somewhat begrudgingly accepted a reduced role for the better of the team.
beloved	любимый; возлюбленный	She replied, Not so, my beloved is the fairer; woe to thee, O Dahnash!
bemuse	ошеломлять; смущать	The gendered language in this country will never cease to bemuse me.
bend	поворот; согнуть; сгибать	However, will definitely remember to bend from the knees.
benefaction	благодеяние; благотворительность; милость	He was president of the Stanford University, a private benefaction of the times.
bequest	завещание; наследство; посмертный дар	Procopius, who, alleging as his title a bequest of the Emperor
bereft	лишенный	She sits alone, lost in thought, her expression bereft, a tissue in her hand.
beside	рядом; рядом с; около	Boucheau, the name beside the bottom button reads.
bespoke	сделанный на заказ; индивидуальный	All our dedicated solutions are bespoke to your individual needs.
bigot	нетерпимый; фанатик; расист	A racist bigot.
bland	пресный; мягкий; безвкусный	Rebelling against the bland uniformity
blasphemy	богохульство	He was detained on charges of blasphemy.
blast	взрыв	Kristin, thanks for bringing us this blast from the past.
bling	побрякушки	The bling lifestyle of diamond rings, flashy cars, and champagne
bliss	блаженство; нега	Only the personal world of domestic bliss is real.
bloat	раздуваться	Coughing bloat from the towers pushes out heat into the sky, lays labor on the air.
blunder	ошибка; просчет; напутать	Home Office says sorry to suspects for ricin blunder
blush	краснеть; покраснеть; румяный	He had brought a faint blush to her cheeks
boast	кичиться; предмет гордости; хвастаться	Not only does the title boast 90 micro games.
bogus	подделка; фальшивка	We're investigating what they describe as bogus donors.
boister	буйный; шумный	Has been among the boister.
boldly	смело; отважно; нагло	And he passed in boldly, and came out still mocking.
bolster	поддерживать; содействовать; укреплять	The fall in interest rates is starting to bolster confidence
boorishness	хамство	Can't do much about the last -- boorishness is not illegal.
bore	бурить; просверлить	The drill can bore through rock
boredom	скука	Leave my grandparents to rot in boredom and misery?
botch	испортить; провал	I've probably made a botch of things
bout	атака; нападение; схватка; приступ; припадок	Some heard bout freedom and went home telling about it.
brace	скобка; скреплять; связывать; укреплять	A neck brace.
brat	сопляк; паршивец; проказник	Insinuated the brat wasn't telling the truth.
bratty	своевольный; своенравный	Shielding me from the front, my bratty little brother rolled his eyes.
brawl	драка; скандалить; ссориться	In English, brawl — a species of dance.
breadth	широта; ширина	What Conroy has in breadth, however, he lacks in depth.
breadwinner	кормилец	The main breadwinner, he does the housework.
break up	расставаться	The breakup of the Ottoman Empire
bream	лещ; очищать (корабль от ракушек)	Tai, or sea bream, is usually served whole; nothing is broken.
briskly	быстро; бодро; оживленно; резво	He called briskly, giving him a slight kick.
brittle	хрупкий; ломкий	Her bones became fragile and brittle.
broom	метла; веник; швабра	A candidate who does not fly on a broom is a now a serious proposition!
bud	почка; почковаться; бутон	New blood vessels bud out from the vascular bed.
bugle	горн; рожок; стеклярус	The bugle sounded the charge
buildup	наращивание; построить	Drama buildup is impeccable, despite the length of this three part series.
bulge	выпуклость; выпячиваться	A 3-dimensional bulge is formed around the tree.
bulk	большая часть; основная масса	Making pesto in bulk is like stretching and priming a canvas.
bump	удар; столкнуться; врезаться	A nasty bump on the head
bundle	пучок; пакет; связка; узел	A 2GB bundle costs $24.99.
bung	закупоривать; затычка; пробка	Fifa insists it is investigating English 'bung' cases
bungle	неуклюжий; неумело; портачить	Every bungle is followed by the same sorry litany.
buoyant	жизнерадостный; бодрый; плавучий	The conference ended with the party in a buoyant mood
burgle	ограбить; совершать кражу со взломом	Well, he must manage it, burgle his own house, if necessary.
burrow	нора	The fish can burrow a hiding place
bustle	суета; суетиться; торопиться; спешить; суматоха	All hurry or bustle is peculiarly painful to the sick.
butler	дворецкий	Overlook's Elephant Walk links to the story: The butler is dead!
button up	довести до конца; завершать; застегнуть на все пуговицы	A button up shirt is exactly what it sound like
by far	безусловно; безоговорочно; общепризнанно	This child is by far the smartest in his class.
bylaws	устав; постановление	Discussion was closed, the bylaws were approved without amendment.
cad	хам; невежа; грубый человек	You claim a cad is a better date than a normal guy.
callous	бессердечный; черствый; нечуткий	A callous attitude toward poor people.
canopy	балдахин; навес; тент	I use a climber where the canopy is more open and I can see well.
cantankerous	сварливый; придирчивый	A crusty, cantankerous old man.
captivity	заточение; плен; неволя	U.S. soldier known to be in captivity is Pfc. Bowe Bergdahl of
caress	ласкать; погладить; гладить	We have to kind of caress each person the right way.
caretaker	охранник; смотритель; сторож	This caretaker is sacrificing her life to do this.
carnivorous	плотоядный; хищный	Who do not indulge in carnivorous activities.
carrion	падаль; мертвечина; гниющий	So they're being forced to eat birds, carrion, which is dead animals.
carry on	продолжать	Carry on as if nothing really matters.
carry out	выполнять; осуществлять	I was only carrying out orders.
carve	резать; вырезать	I think he's trying to kind of carve out his own territory.
castigate	бичевать; осуждать	You should not castigate her because she s an attractive blonde female reporter.
cater	угождать; потворствовать; поставлять	Favorite designer labels cater to hot bods and rich snobs Bauble Head
caucus	закрытое собрание; политика подтасовки выборов	The democratic caucus is undisciplined and disorganized.
caveat	предостережение; протест; оговорка	The one caveat is that his team has yet to beat an ACC team with a winning record.
cede	уступить; сдавать; передавать	Romney can't cede Massachusetts, because it ceased being his long ago ..
cenacle	обитель	When only eighteen he was introduced into the Romantic cenacle at Nodier's.
chafe	раздражаться; натирать; ссадина	The collar chafed his neck
chagrin	досада; огорчение	I bet with every Wind that blew, till Nature in chagrin
cheer	ободрять; апплодировать; утешать	Came a lone cheer from the top of the hill.
cheerfully	весело; бодро; охотно; с готовностью	He called cheerfully from the door.
cherish	лелеять; ценить; хранить; нежно любить	I cannot sit idly by, while the way of life that I cherish is defiled.
chipmunk	бурундук	Weasel, squirrel, and chipmunk are encountered.
choke	задыхаться; задушить; заглушать; давиться	Piracy will choke the creation and distribution of music.
chord	струна; гармонировать; аккорд; связка	Musical group Steel Train plays one chord from a song.
chore	рутинная работа; работа по дому	Nagi decides her next chore is to master shopping.
chuck	швырять; бросать	She gave him a good-natured chuck under the chin.
churn	взбалтывать	The churn is huge
circuitry	схема; цепь; микросхема	It disrupts their circuitry, which is a good thing.
circumference	окружность; периметр	Two inches in circumference.
circumstantially	косвенно; непрямо; подробно; обстоятельно	Or dependent on circumstances a circumstantial case
circumvent	перехитрить; обмануть; обойти	This latest gambit, he argued, was simply an attempt to circumvent the law.
clash	столкновение; конфронтация; конфликтовать	They had lost the title clash of the 2008 event to Argentina via golden goal.
cleaver	тесак; колун	A chef’s knife or cleaver is as sharp as a rapier.
clew	клубок; сматывать в клубок	Many people sail to Mexico without having a clew about how to properly reef to.
clingy	прилипчивый; цепкий; липкий	At about 18 months my son became very clingy
clog	засорение; засорять; препятствовать; помеха	The clog is a well-named hindrance to civilization in the waste of time it compels.
cloth	ткань; полотно	Therefore, it is becoming more difficult to obtain cloth from the U.S.
clueless	невежественный; несведущий	Obama got the message, but you remain clueless! shocker!
clumsy	неуклюжий; неловкий	The film lurches forward in clumsy.
clutch	схватить; зажимать; хвататься за что-либо	Jose Mesa stepping up in the clutch is a whole other matter.
clutter	беспорядок; помехи; шум	So, I removed that clutter from the short and rewrote it.
coarse	грубый; шероховатый; низкосортный; невежливый	His words sharply punctuated, delivered in coarse staccato.
coarseness	грубость; неотесанность; вульгарность	The idea of coarseness and barbarism was united with the idea
coerce	принуждать; удерживать силой; заставлять	If you coerce someone into doing something
coercive	принудительный; насильственный	Lots of animals, including many primates, engage in coercive sex.
coffer	казна; сундук; ларец; кессон	The money in King's campaign coffer comes from the electric industry.
cognition	познание; когнитивный; умственный; мыслительный	All this research into cognition is useless, a waste of money?
coil	катушка; змеевик; спираль	Circumference of this coil is 157 inches.
coincide	совпадать; соответствовать; совмещаться	It will be interesting to see if their jail terms coincide with tourist season.
collateral	залог; побочный	She put her house up as collateral for the bank loan
collocation	словосочетание	Here is the biggest problem, they don't understand collocation.
collusive	договорной; основанный на сговоре; улаженный тайным сговором	Collusive agreements, and unveiled a new button on its website.
combust	гореть; воспламеняться; сжигать	The heat necessary to combust is created by the high compression ratio.
come to grips	вступить в борьбу; схватиться	The committee has failed to come to grips with the problem
commence	начинать; приступать; начинаться	When does the presidential term commence and expire?
commend	хвалить; одобрять; рекомендовать	Actually, what I really want to commend is the book.
commensurate	соответственный; соизмеримый; соразмерный	Salary will be commensurate with experience
commingle	смешивать; вмешиваться	Or a place in which the fanciful is allowed to commingle with reality.
commodity	товар; предмет потребления; продукт	Lurking within the physical form of a commodity is a value form.
commotion	волнение; суматоха; гражданские волнения; суета	I really don't see what all the commotion is about.
compassion	сострадание; сочувствие; жалость	The victims should be treated with compassion
compel	принуждать; подчинять; заставлять	A sense of duty compelled Harry to answer her questions.
compendia	краткое руковдство	An invaluable compendia of useful information about language.
complacently	самодовольно  	His expression became complacently aloof as he regarded her with lazy interest.
compliant	совместимый; уступчивый; податливый	A compliant labor force
complicity	соучастие; сопричастность	This needs a certain complicity between the writer and reader.
comply	исполнять; соблюдать; подчиняться	In some States, refusal to comply is itself resisting arrest without violence.
comprise	включать; заключать в себе	The country comprises twenty states
compulsory	обязательный; принудительный	Is involved in compulsory school mathematics.
compunction	угрызения совести; сожаление; раскаяние	With a kind of compunction in his silence.
concede	допускать; признавать	I think the paradox claim you concede is unnecessary.
concise	краткий; сжатый	Our Constitution is drafted in concise and general propositions.
concomitant	сопутствующий; сопровождающий; сопутствующее обстоятельство	Concomitant with the fighting between government troops and Islamist rebels.
concur	совпадать; соглашаться; действовать сообща	We strongly concur with this recommendation.
concussion	сотрясение мозга; контузия	Nothing more serious than a mild concussion
condemnation	осуждение; неодобрение; приговор	So you concede that no condemnation from the UNSC is forthcoming.
condescension	снисходительность; снисхождение	Your condescension is outweighed by your stupidity.
condolence	соболезнование; сочувствие	My greatest condolence is that at least their terms are limited.
condone	смотреть сквозь пальцы; мириться; попустительствовать	That's why a statement that Hillary does not condone the comment is weak tea.
conduit	канал; средство передачи; коммуникации; трубопровод	The concept of separating content from conduit is an old and important one.
confer	присуждать; присваивать; предоставлять	But none of these titles confer upon me the right of property.
confess	признаться; сознаваться; исповедаться	I confess is not an entirely resolved disquiet but there it is.
confine	ограничивать; держать взаперти; заточить	He is correct in the assumption that the idea is to confine cyclists to their lane.
confinement	тюремное заключение; ограничение	The only positive aspect of solitary confinement is that it gives you time to think.
conform	соответствовать; приспосабливаться	But the need to conform is greater among the young.
congest	перегружать; переполнять; скоплять	This will only serve to congest and gridlock the streets.
congruous	соответствующий; гармонирующий; сочетающийся	More reasonable and more congruous that book should suggest Bacon.
conjecture	догадка; предполагать; предположение; гипотеза	Such conjecture is not only legitimate; it's necessary and urgent.
conjugal	супружеский; брачный	Conjugal loyalty
conjugation	спряжение; соединение	It was the conjugation of verbs he found most difficul.
conjunction	соединение; связь	Starting a sentence with a conjunction is all right.
conscience	совесть	He had a guilty conscience about his desires
conscientious	добросовестный; честный; сознательный	A conscientious and hardworking clerk
consignment	партия товаров; груз	All packages In a consignment should be the same size.
consolation	утешение; утешительный	The consolation is that Blair was tormented by the encounters.
console	утешить; приставка	She tried to console him but he pushed her gently away.
construe	толковать; истолковывать; интерпретировать	You construe its meaning
containment	cдерживание	The containment of the epidemic.
contemplate	созерцать; рассматривать; размышлять; обдумывать	The more fun possibility to contemplate is something like attempted homicide
contempt	презрение; неуважение	In hindsight, my contempt is actually mixed with pity.
contend	соперничать; спорить	Sources at the label contend that Apple's submission was a work-in-progress.
contented	удовлетворенный; довольный	My life fell into a certain contented pattern.
contentious	спорный	Democrats splinter in contentious health care reform debate
contentment	довольство; удовлетворенность	He found contentment in living a simple life in the country.
contiguous	смежный; прилегающий; соприкасающийся	The 48 states besides Alaska and Hawaii are referred to as the contiguous U.S.
contingency	непредвиденное обстоятельство; случайность; случай	The extra contingency from the tolling is already primarily city resident paid.
contingent	случайный	The contingent nature of the job
contraction	сокращение; сужение; сжатие	And now the idea of contraction is rearing its head.
controversy	спор; полемика; дискуссия	But Sanders said the controversy is a misunderstanding.
convalesce	выздоравливать	Though still strong, his body did not convalesce as swiftly as it once had.
convene	созывать; собираться; созыв	We have only a few just before court convene, which is twice a year.
convey	передавать; выражать; сообщать	The big message you are trying to convey is to slow down.
convict	заключенный; осужденный; признать виновным; осудить	Every first time drug possession convict is already offered out-of-prison treatment.
conviction	уверенность; признание виновным; убеждение; осуждение	This conviction is the basis for many long-standing misconceptions.
cooperage	бондарное ремесло; бондарня	Cooperage is a forgotten art.
cope	справиться; выдержать; совладать	Fortescue himself in cope with some of his servers
cork	пробка; затыкать пробкой; закупоривать; поплавок	Double cork is snowboarding's must-have trick in Vancouver
cosiness	уют	It supplies coziness and luxury that can be expected at hotel lobbies
counsel	советовать; рекомендовать; давать совет; совещание; совет	The defense counsel is still busily validating my thesis.
countenance	выражение лица	Sometimes, not always, the countenance is the index of the mind.
counter	счетчик; прилавок	The second argument is more difficult to counter
counteract	противодействовать	Intervene in the climate system to counteract global warming.
counterpart	копия; двойник; коллега	She meets her counterpart from a parallel Kingdom
courtesy	вежливость; обходительность	He had been treated with a degree of courtesy not far short of deference
courtier	придворный	A courtier is an attendant at a royal court or an inveterate flatterer.
cove	бухта; пещера в скале	The tranquil cove is sheltered from the open sea behind a tier of craggy sea stacks.
covenant	завет; договор	The landlord covenant to repair the property
coy	скромный; застенчивый	Regardless of where and when, I’d answer, again coy.
crackdown	репрессивная акция; репрессия; силовое воздействие	The 24-hour crackdown is also targeting those who text while driving.
crackling	треск; хруст	Is full of zest and life and a kind of crackling energy.
crave	страстно желать; жаждать	I remember that the space I crave is one of community and connection.
creak	скрип; скрипеть	This is another creak from the failing superstructure of civil life.
creek	ручей; бухта; устье реки	Over the divide at the head of this creek is a tributary of the Big Windy.
creep	ползать; подкрадываться; лицемер; воришка	An attempt to prevent this slow creep of costs
crook	мошенник; жулик; аферист	The Cuban crook is only going to get the Dade county vote.
crooked	кривой; изогнутый	His teeth were yellow and crooked
crouch	красться; пресмыкаться; заискивать	This part of the tunnel, again, you have to kind of crouch down.
crouch	приседать; полуприсесть; заискивать	This part of the tunnel, again, you have to kind of crouch down.
crumb	крошка; мякиш; крупица	She brushed some cake crumbs off her dress
crumble	разрушаться; распадаться; крошиться	The crumble is my favourite part of the whole bar.
crunch	хруст	She paused to crunch a ginger snap
crush	раздавить	A number of youngsters fainted in the crush
crux	суть; основная проблема; ядро	Herein lies the crux of the issue.
culprit	обвиняемый; виновник; преступник	I am guessing that the culprit is the Internet
curb	обуздывать; сдерживание; ограничение; сдерживать	She promised she would curb her temper
curry favor	втереться в доверие; выслужиться; заискивать; подлизываться	The ambassador curry favor with the dictator.
curtail	сокращать; урезать	I don't limit or otherwise curtail this self-indulgence.
custodian	хранитель; опекун	The radium custodian is mentioned in the title story, which is set in in the
custody	опека; попечение; арест; заключение	We all know what a Friday night in custody is like - mad.
customary	обычный; привычный	Burr remained abroad for four years, living in customary indebtedness.
daunt	устрашать; запугивать	Some people are daunted by technology
dazedly	ошеломленно; изумленно	And looked around slowly, dazedly.
dazzling	ослепительный	A dazzling display of football.
dearth	недостаток; нехватка	There is a dearth of evidence.
debauchery	разврат; распущенность	Pathetic debauchery
debunk	развеничивать; разоблачать	The magazine that debunks claims of the paranormal.
decay	разложение; распад; разлагаться	Limbo as orbital decay is a fairly recent construction
decedent	умерший; покойный	The executor of a decedent's estate.
deceit	обман; хитрость; уловка; лживость	Men tend to be violent and vengeful; deceit is also a part of human nature.
deceive	обманывать; вводить в заблуждение	Don't let the name deceive you.
deceiver	обманщик; плут; мошенник	Gary, the real hipocrite and deceiver is in your party.
deceleration	замедление; торможение	A deceleration in economic growth
decency	приличие; благопристойность; порядочность	Finally some sense and common decency from a republican.
decent	порядочный; подходящий; приличный	The good name of such a decent and innocent person
deception	жульничество; ложь; обман	This kind of deception is the rule, not the exception, in Silicon Valley.
deceptive	обманчивый; вводящий в заблуждение	They call deceptive opinion spam by commissioning freelance writers
decompress	успокоиться; снижать давление	Oh, she just needed time to decompress.
decoy	ловушка; приманивать; приманка	All Comments from peter wrote 1 year 2 weeks ago real lookin decoy
deem	полагать; считать; думать	I am simply going to keep looking forward and do what I deem is right.
defamation	клевета	She sued him for defamation.
defeasance	аннулирование; отмена	The defeasance option allows the borrower to exchange another cash-flowing asset
defector	дезертир; отступник; перебежчик	Department has declared that the defector is a liar, and has discounted his report.
defendant	ответчик; обвиняемый; подсудимый	In which the defendant is accused of violating law.
defer	откладывать; отсрочивать	Captain Sears did defer, that is he seldom opposed.
deferment	отсрочка; откладывание	Deferment of the decision
deferral	отсрочка; отсрочка платежа	Rather, the deferral is taken without prejudice
defiant	провокационный; дерзкий; вызывающий	Ms. ROSE: He was defiant from the beginning to the end.
deficiency	дефицит; нехватка; отсутствие; недостаток	A blood protein deficiency is the cause of this inherited illness.
deflect	отклоняться; отклонять	McCain knows he needs to deflect from the issues to stay in the game.
defraud	обманывать; мошенничать; обманом лишать	Thou shalt not defraud, that is, deceive or beguile.
defray	возмещать; оплачивать; покрывать; покрывать издержки	Is there anything people can do to kind of defray those costs?
deft	ловкий; проворный; умелый	If you are going to be deft, it's best not to reveal your sleaziness.
defy	вызов; бросать вызов; сопротивляться	Yet, parasites do not by definition defy vaccines.
delineate	описать; схематически изображать	That's because the dot will better delineate crosswalks.
delinquency	проступок; правонарушение	Social causes of crime and delinquency
delinquent	правонарушитель; виновный; преступник	Delinquent children
deluge	наводнение; потоп	That data deluge is creating a new kind of search opportunity.
delusion	заблуждение; иллюзия; обман	This propensity for self-delusion is evidently a fact of life.
demeanor	манера вести себя; манера поведения	Demeanor includes but is not limited to facial expression.
demise	гибель; кончина	Looks like the demise is an any time now sort of afair.
demote	понизить; разжаловать	He moved to demote other members of the party.
denounce	обвинять; доносить; денонсировать	That combination of obsession and need to denounce is familiar.
deplore	порицать; считать предосудительным; сожалеть	We deplore this act of violence.
depose	свергнуть; смещать; низложить	Her father was hung by the man who went on to depose him.
depot	депо; склад; станция	Today the site of the depot is partly occupied by an industrial estate.
deprecate	выступать против; осуждать; возражать	What I deprecate is persistent indulgence 
detain	задерживать; остановить; прекратить	If the initial decision to detain is legally valid, for how long should detention last?
detention	задержание; арест	In fact, he was referring to her detention by the government there.
deter	удерживать; сдерживать; отпугивать	Do not let the Young Adult label deter you either.
detergent	моющее средство; жидкое моющее средство	Next, a cup of water containing the detergent is added.
deterrence	отпугивание; удержание отпугивание; устрашение	Clinton understands that deterrence is worth the trouble.
detour	объезд	Take a detour from the section you normally head straight for.
detract	принижать; умалять; уменьшать	Dialogue can enhance or detract from the story in a major way.
detriment	ущерб; причинять ущерб; вред	He is engrossed in his work to the detriment of his married life
devious	коварный; хитрый	He's as devious as a politician needs to be
devise	выдумать; изобретать; придумать	Bid her devise some means to come to shrift this afternoon.
dexterity	ловкость; проворство; сноровка	Manual dexterity is their greatest asset.
dexterous	ловкий; умелый; искусный	Dexterous accordion playing
